,Annotator 1,Annotator 2,Annotator 3,Score,,
Hun,0,0,0,0,,
Jap,2,2,1,5,,Notes:
Jihadi,2,1,0,3,,0 = Not abusive
Yardie,1,1,1,3,,1 = Mildly abusive
abhor,1,0,0,1,,2 = Very abusive
abominable,0,1,0,1,,
abomination,1,1,0,2,,
abusive,1,1,0,2,,
affront,1,0,0,1,,
agitator,1,0,0,1,,
aloof,0,0,0,0,,
ambush,1,0,0,1,,
anarchist,0,0,0,0,,
annihilate,1,0,0,1,,
appalled,1,0,0,1,,
arrogance,0,0,0,0,,
arrogant,1,0,0,1,,
arse,1,1,1,3,,
ashamed,1,0,0,1,,
asinine,1,0,0,1,,
ass,1,1,1,3,,
assassinate,1,0,0,1,,
assault,1,0,0,1,,
asshole,1,2,1,4,,
atrocity,0,1,0,1,,
attack,1,0,0,1,,
avarice,0,1,0,1,,
avaricious,0,1,0,1,,
awful,1,1,0,2,,
awfulness,0,0,0,0,,
awkward,0,0,0,0,,
backbiting,1,0,0,1,,
backward,0,0,0,0,,
bampot,1,1,1,3,,
barbaric,0,1,0,1,,
barbarous,0,0,0,0,,
bastard,1,2,0,3,,
beaner,2,2,0,4,,
beast,1,0,0,1,,
beastly,1,0,0,1,,
belittle,0,0,0,0,,
bestial,1,0,0,1,,
betrayer,1,1,0,2,,
bint,1,1,2,4,,
bitch,1,2,2,5,,
bitter,1,0,0,1,,
blab,0,0,0,0,,
blabber,0,0,0,0,,
blaspheme,0,0,0,0,,
blasphemy,0,0,0,0,,
blather,0,0,0,0,,
blind,0,0,0,0,,
bloodthirsty,1,1,0,2,,
bogan,0,1,1,2,,
bogus,0,0,0,0,,
bollocks,1,0,0,1,,
bombardment,0,0,0,0,,
boner,0,0,0,0,,
botch,0,0,0,0,,
braggart,1,0,0,1,,
bravado,0,0,0,0,,
brutality,0,0,0,0,,
brute,1,1,0,2,,
buckra,1,1,1,3,,
bugger,1,1,0,2,,
bullshit,1,1,0,2,,
bully,1,0,0,1,,
bungler,0,1,0,1,,
burdensome,0,1,0,1,,
burrhead,0,2,2,4,,
butchery,0,0,0,0,,
cancer,1,0,0,1,,
cancerous,1,2,0,3,,
cannibalize,1,0,0,1,,
capricious,0,0,0,0,,
capriciousness,0,0,0,0,,
careless,0,0,0,0,,
carelessness,0,0,0,0,,
carnage,0,0,0,0,,
celesbian,0,0,0,0,,
charva,0,1,1,2,,
charver,0,1,1,2,,
chav,0,1,1,2,,
cheat,0,0,0,0,,
cheat,0,0,0,0,,
chonky,0,0,0,0,,
chug,0,0,0,0,,
cliche,0,0,0,0,,
clumsy,0,0,0,0,,
cock,0,1,0,1,,
cocky,1,0,0,1,,
cold,0,0,0,0,,
complacent,0,0,0,0,,
conceited,0,1,0,1,,
contempt,0,0,0,0,,
coolie,0,1,1,2,,
coon,2,2,1,5,,
cooter,0,0,0,0,,
corrosive,0,0,0,0,,
cracker,1,1,1,3,,
crap,0,1,0,1,,
crass,0,0,0,0,,
craziness,0,0,0,0,,
cringe,0,1,0,1,,
cripple,2,1,0,3,,
cripple,2,1,0,3,,
crude,0,0,0,0,,
cruel,0,1,0,1,,
cuck,1,1,1,3,,
cunt,2,2,2,6,,
curse,0,0,0,0,,
cursed,0,0,0,0,,
dago,2,1,1,4,,
damn,0,0,0,0,,
darkey,2,1,1,4,,
darkie,2,1,1,4,,
dawdle,0,0,0,0,,
debauchery,0,0,0,0,,
deceitful,0,1,0,1,,
